"PETRJ13,CALL,,A,72,ITM,-9.767,3.023,3.023,100,,3.000,,,,3.040,0,09:45:00,17,4.222,22,9.822,,,,10.000,0,0,0,0,,100,0,200,0,1,1"
"PETRV13,PUT,,E,72,OTM,-9.767,0,,,,,,,,,0,,,,,,,,0,0,0,,0,,,,,,,"
"PETRJ402,CALL,,A,342,ITM,-8.895,2.755,2.753,,,,,,,2.767,-11,13:45:28,14,80.906,8.940,13,105.189,00,5.160,9.971,3,-170,-6,526,10.000,50,0,1,2,3,8,1,2"
"PETRV402,PUT,,E,342,OTM,-8.895,0,,,,,2,,8,4,,0,,,,,,,,0,0,0,,0,,,,,,,"
"Opções PETR4 - CALLs e PUTs - lista, pesquisa e cotações",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ticker          ,Tipo,F.M. ,Mod.,Strike    ,A/I/OTM,Dist. (%) do Strike,Teórico,VI,Qtd. Bid,Vol. Impl. Bid (%),Bid,Ask,Vol. Impl. Ask (%),Qtd. Ask,Último,Var. (%),Data/Hora,VE,Prêmio como % do strike,Prêmio como % da última cotação,Núm. de Neg.,Vol. Financeiro,Vol. Impl. (%),Delta,Gamma,Theta ($),Theta (%),Vega,Prob. ITM (%),IQ,Coberto,Travado,Descob.,Tit.,Lanç.
PETRV180,PUT,,E,1.747,OTM,-4.355,0,,,,,1,,75,1,0,09:45:00,,6,3,,,,0,0,0,,0,,100,0,800,"5,2",2,2
PETRJ183,CALL,,E,1.772,ITM,-4.275,1.332,1.323,3,,1.282,1.347,1.788,3,1.348,"+0,67",11:44:14,-8,7.421,4.249,1,"40.440,00",,10.000,0,-100,-8,0,10.000,67,0,23,"77,9",4,6
PETRV183,PUT,,E,1.772,OTM,-4.275,0,,,,,1,,115,1,0,09:45:00,,6,3,,,,0,0,0,,0,,300,0,"6,5",0,3,1
PETRJ185,CALL,,A,1.797,ITM,-4.194,1.308,1.298,,,,,,,1.330,0,09:45:00,32,7.401,4.297,,,,10.000,0,-110,-8,0,,33,100,200,"1,7",1,3
PETRV185,PUT,,E,1.797,OTM,-4.194,0,,,,,1,,75,1,0,09:45:00,,6,3,,,,0,0,0,,0,,67,0,"5,1",900,2,3
PETRJ188,CALL,,E,1.822,ITM,-4.113,1.283,1.273,3,,1.232,1.298,1.728,3,1.297,,09:45:00,-8,6.946,4.089,1,"83.008,00",,10.000,0,-110,-9,0,10.000,50,"16,9","6,4","76,6",3,6
PETRV188,PUT,,E,1.822,OTM,-4.113,0,,,,,1,,75,2,0,09:45:00,,11,6,,,,0,0,0,,0,,100,0,100,0,1,1
PETRJ190,CALL,,A,1.847,ITM,-4.032,1.258,1.248,3,,1.208,1.273,1.688,3,1.275,0,09:45:00,-7,6.719,4.010,,,,10.000,0,-110,-9,0,10.000,33,2,900,"11,7",3,9
PETRV190,PUT,,E,1.847,OTM,-4.032,0,,,,,1,,75,1,0,09:45:00,,5,3,,,,0,0,0,,0,,150,0,200,40,3,2
PETRJ193,CALL,,E,1.872,ITM,-3.952,1.233,1.223,3,,1.183,1.249,1.668,3,1.249,0,09:45:00,-7,6.498,3.931,,,,10.000,0,-110,-9,0,10.000,50,0,"8,9","3,1",2,4
